date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,-0.1,-5.5,5.3,0,0,189,3.2,9.4,1035,443
2020-01-02,-1.8,-5.9,2.3,0,0,155,3.6,10.4,1032,339
2020-01-03,3.7,-1.9,8.5,1.4,0,152,8.3,38.2,1027.3,41
2020-01-04,4.5,2.4,6.9,0.1,0,259,15.8,47.5,1032.8,122
2020-01-05,3.1,-2,5,0.1,0,158,4.7,18.4,1037.3,3
2020-01-06,-0.4,-4.2,4.8,0.1,0,137,3.6,11.2,1031.1,450
2020-01-07,2.8,-3.1,7.2,0.8,0,190,5.4,24.1,1031,34
2020-01-08,2.7,-2.8,8.2,0,0,111,4.3,14.8,1030.6,0
2020-01-09,9.6,5.4,14.4,0.3,0,139,6.5,27,1021.7,251
2020-01-10,8.2,4.8,11.2,1.7,0,208,12.6,47.5,1023,159
2020-01-11,2.9,-2.4,6.2,0,0,205,4.7,14.8,1034.3,48
2020-01-12,-0.1,-4.4,3.4,0,0,172,4.3,20.9,1030.6,119
2020-01-13,3.4,-0.2,6.8,0.1,0,122,4,16.6,1024,30
2020-01-14,5.7,-1,10.8,0,0,180,6.8,20.5,1018.3,184
2020-01-15,7.1,0.1,13,0,0,163,7.2,35.3,1021.6,476
2020-01-16,7.4,0.3,12.9,0,0,84,4.7,16.6,1028.5,320
2020-01-17,3.8,-2.3,9.3,0.4,0,165,4.3,20.5,1023.1,205
2020-01-18,4.1,1.4,6.5,0.1,0,234,8.6,33.5,1028.5,195
2020-01-19,1.7,-1.6,2.9,0.3,0,282,8.3,25.9,1037.6,21
2020-01-20,0.7,-3.1,5.4,0,0,110,9,32,1046.1,383
2020-01-21,-1.7,-5,2.6,0,0,103,4.7,18,1042.8,390
2020-01-22,-3.8,-7.9,0.9,0,0,202,5.4,25.2,1038,330
2020-01-23,-2.5,-4.8,1.1,0,0,149,5,22.3,1033.2,74
2020-01-24,-0.4,-6,5.7,0,0,166,4.7,13,1026.7,465
2020-01-25,0.2,-3.5,5.9,0,0,184,3.6,14.8,1024.1,133
2020-01-26,1.1,-3.7,8.4,0,0,142,3.6,14,1021.3,223
2020-01-27,5.4,-0.5,10.6,0.5,0,162,8.3,35.6,1014.5,170
2020-01-28,4.4,0.7,7.1,6.5,0,218,20.5,87.8,1004.3,101
2020-01-29,2.9,1,5.6,0.5,0,232,17.3,52.9,1013.4,46
2020-01-30,6.3,1.6,9.5,1.1,0,198,9,28.4,1016,323
2020-01-31,11.7,9.2,14.6,0,0,226,13.3,46.8,1014.7,106
2020-02-01,11,8.8,14.3,4.7,0,205,14,57.2,1012.2,114
2020-02-02,10.4,7.2,13.3,15.1,0,212,14.8,53.6,1015,0
2020-02-03,8.2,6.7,14,10.5,0,224,11.5,53.6,1017.1,0
2020-02-04,4.5,0.4,13.9,3.1,0,252,26.6,105.1,1016.1,162
2020-02-05,2.5,-2.8,5.6,0,0,290,15.5,42.1,1034.2,325
2020-02-06,0,-4.4,6.3,0,0,155,4.3,13,1034.4,556
2020-02-07,0.2,-5.6,6.8,0,0,110,6.8,21.6,1029.8,564
2020-02-08,1.1,-4.9,8,0,0,158,4,11.2,1026.7,542
2020-02-09,7,-2.1,14.1,0.3,0,137,13,65.9,1018.5,414
2020-02-10,9.8,2,14.6,5.6,0,240,36,101.9,1005.4,273
2020-02-11,4.1,0.7,6.7,5.3,0,250,29.9,69.1,1012.7,184
2020-02-12,3.1,2,5.7,0.3,0,225,16.6,59.4,1020.8,195
2020-02-13,3.7,-2.5,8.8,5.5,0,174,11.9,51.8,1013,8
2020-02-14,5.7,0.6,8.9,1.5,0,239,13.7,47.5,1022.5,57
2020-02-15,5,-1.3,12.2,0,0,145,5,21.6,1025.2,516
2020-02-16,11.2,3.9,18.7,0,0,140,9.4,37.8,1017.1,217
2020-02-17,9.7,5.2,15.6,7.1,0,214,11.9,49.3,1019.6,0
2020-02-18,5.6,3.4,7.9,0,0,226,15.5,47.5,1028,315
2020-02-19,4.2,0.4,7,1.3,0,227,16.9,62.3,1024.2,247
2020-02-20,6.1,2.4,11.1,0.3,0,205,9.7,50,1022.6,216
2020-02-21,5.1,-0.5,8.7,0,0,232,15.1,71.6,1030,472
2020-02-22,7.8,-1,14.4,3,0,203,11.9,48.6,1028.9,444
2020-02-23,10.6,6.5,14.3,4.6,0,227,23,63,1023.3,35
2020-02-24,8.5,3.8,14.8,1.2,0,212,11.5,48.2,1020.4,224
2020-02-25,7.2,3.2,9.1,7.5,0,220,13.3,50,1006.2,7
2020-02-26,2.2,0.2,4.8,0.6,0,239,19.1,58,1005.1,182
2020-02-27,1.8,-0.1,4.6,7.1,0,209,20.2,90.7,1004.9,117
2020-02-28,3.5,0.2,7.2,1.1,0,221,15.8,59.4,1018.7,385
2020-02-29,8.9,3.5,15.5,1.1,0,169,11.9,70.2,1003.5,178
2020-03-01,8.4,4.2,12.4,0.1,0,203,17.3,75.2,1000.8,388
2020-03-02,5.2,0.5,9.3,4.4,0,149,9,37.8,994.8,145
2020-03-03,4,-0.1,6.9,0,0,239,15.5,51.8,1005.8,130
2020-03-04,3.4,-1.5,7.6,0,0,199,8.6,31,1014.5,36
2020-03-05,5.1,0.1,8.6,7.4,0,137,8.6,38.9,1000.1,0
2020-03-06,5.3,3.2,8.3,4.9,0,224,20.2,67.3,999.7,94
2020-03-07,4.1,-0.2,7.4,0,0,249,15.8,40,1020.1,288
2020-03-08,5.7,-1.7,11,1.2,0,171,6.8,26.6,1020.1,517
2020-03-09,6.1,3.6,10.1,0.1,0,231,11.9,35.6,1017,213
2020-03-10,6.6,3.4,10.5,8.7,0,199,17.3,48.2,1016.2,0
2020-03-11,12.5,10.3,16,0,0,212,19.1,58,1018,331
2020-03-12,11.2,6.9,16.4,3.2,0,227,16.2,53.6,1015.9,173
2020-03-13,6.2,0.4,10.7,0,0,241,17.6,49.3,1022,552
2020-03-14,3.3,-1.2,9.6,0,0,147,4.3,24.8,1023.9,240
2020-03-15,6.9,-1.2,15,0,0,195,5,29.5,1019.7,642
2020-03-16,9.7,0.1,19,0,0,210,6.5,25.2,1021.7,637
2020-03-17,11.1,5.7,16.7,0,,244,5.9,22.3,1030.3,156
2020-03-18,10.5,2.6,17.7,0,0,199,5,18.4,1029.1,489
